N,Nx,runtime-avg,runtime-var
1024,1024,0.00075856168,1.1787087674766662e-09
1024,2048,0.0007803868799999999,7.973072040266668e-10
1024,4096,0.0008237362000000001,2.7096897295e-09
1024,8192,0.00083926012,9.980410422766667e-10
1024,16384,0.0009177697200000001,7.778513235876665e-09
1024,32768,0.00098321008,3.3301661892433312e-09
1024,65536,0.0011757680800000001,1.8396026931993333e-08
1024,131072,0.0013817682400000004,8.501652687190004e-09
1024,262144,0.0018416399999999999,4.718749725249997e-09
1024,524288,0.0028859126800000008,2.6976592279643338e-08
1024,1048576,0.0048940582799999995,5.3224910974209994e-08
1024,2097152,0.00871306008,5.026737050682674e-08
1024,4194304,0.01597876932,2.276791575547668e-08
1024,8388608,0.03148054408,1.2400011359786595e-06
1024,16777216,0.06314899124000001,1.1020515801560668e-07
1024,33554432,0.12289803316,1.3354300698422043e-05
2048,1024,0.0009154018400000002,2.7891581464733342e-09
2048,2048,0.0009321295600000001,7.188818861733342e-10
2048,4096,0.0012951068,4.357517395340832e-07
2048,8192,0.00102575992,4.698072955766669e-10
2048,16384,0.00113215612,1.4642153358943333e-08
2048,32768,0.0013006647599999998,6.963044657510665e-08
2048,65536,0.00139303968,2.7427709159766675e-09
2048,131072,0.0018278742799999997,1.0396002297204331e-07
2048,262144,0.00235244484,7.635032834630667e-08
2048,524288,0.0033589424000000003,7.345339839316663e-08
2048,1048576,0.006921409479999999,1.0192003477084262e-05
2048,2097152,0.01110815248,1.0661147104135933e-06
2048,4194304,0.018670153000000002,6.703333004790917e-06
2048,8388608,0.03374052812,4.443216638414438e-07
2048,16777216,0.06543410088,4.01326517590572e-05
2048,33554432,0.12408210131999999,1.796032162011523e-05
4096,1024,0.0016080029600000002,7.285328320831234e-07
4096,2048,0.0013073057600000001,9.222892782733339e-10
4096,4096,0.00143552436,1.767490279724e-08
4096,8192,0.0016322360399999999,1.869629757479e-08
4096,16384,0.0015959097199999997,1.9202738077933314e-09
4096,32768,0.0017490194799999997,1.9925081007600007e-09
4096,65536,0.0024007651200000004,1.3116697620072767e-06
4096,131072,0.00241002456,1.041748747067333e-08
4096,262144,0.00367856456,3.2188045666549227e-06
4096,524288,0.005086050839999999,1.4672945554302235e-06
4096,1048576,0.008505481839999999,9.712247889796307e-06
4096,2097152,0.013781629200000001,2.5895482417693337e-06
4096,4194304,0.01932224336,1.5797476764207343e-07
4096,8388608,0.036895683959999995,4.2183150045636715e-05
4096,16777216,0.0674279774,5.732585699266833e-06
4096,33554432,0.1256248788,1.2289037430017493e-06
8192,1024,0.00247713868,1.4200535770914768e-06
8192,2048,0.00208999252,1.7972808542426684e-08
8192,4096,0.00256195412,2.779834326932767e-07
8192,8192,0.0028299169599999997,3.3151645638229e-07
8192,16384,0.002589606,1.5405589916583333e-08
8192,32768,0.0028347476,9.309147649583323e-09
8192,65536,0.0031621187600000007,1.7147468162733297e-09
8192,131072,0.00421580592,4.073017879695243e-06
8192,262144,0.00460686708,9.836990738466e-08
8192,524288,0.005965752479999999,4.654866545376765e-07
8192,1048576,0.012572155879999998,1.2263904375881523e-05
8192,2097152,0.013477741599999999,1.3125664337045839e-06
8192,4194304,0.021750623559999998,1.069992454880902e-07
8192,8388608,0.0390915964,3.548879327133124e-05
8192,16777216,0.06933760004,9.799731528095644e-08
8192,33554432,0.1288069024,5.998052315160755e-06
16384,1024,0.004282510440000001,4.400565127838006e-06
16384,2048,0.005701036999999999,9.502479018095834e-07
16384,4096,0.006254422599999999,8.168419053103167e-06
16384,8192,0.0042294128,3.8998498245250015e-08
16384,16384,0.00472452264,4.434463577674002e-08
16384,32768,0.005251559720000001,2.383472825046001e-08
16384,65536,0.00733958728,4.171865733647044e-06
16384,131072,0.007815288960000001,9.926918142040013e-09
16384,262144,0.012365356039999999,1.3969622291798369e-05
16384,524288,0.011556603120000002,7.218104326281443e-06
16384,1048576,0.01318520736,1.29918299101024e-06
16384,2097152,0.01722409676,3.321279974385663e-08
16384,4194304,0.028377794600000002,3.3487929602215754e-05
16384,8388608,0.04414239544,1.767515228976734e-07
16384,16777216,0.07609855416,4.3733858747505756e-07
16384,33554432,0.13615445488,1.2699812296329592e-05
32768,1024,0.008314382519999998,9.633566643088844e-06
32768,2048,0.007829982559999999,2.3854774986210066e-06
32768,4096,0.00926620272,2.335377566673213e-05
32768,8192,0.009416053720000001,1.837749777130127e-06
32768,16384,0.011671444920000003,1.132249146797327e-06
32768,32768,0.011507793599999998,3.6360443013552487e-06
32768,65536,0.01169659508,8.137393663949934e-07
32768,131072,0.01222474004,1.8974578088645665e-07
32768,262144,0.014865186160000002,2.5252003866490134e-05
32768,524288,0.01506235464,2.659362736925732e-07
32768,1048576,0.01841434244,2.994030407567342e-08
32768,2097152,0.02672699236,1.7271931832619738e-05
32768,4194304,0.03796399448,2.8707464753701016e-07
32768,8388608,0.05637244872,1.8487839273437657e-07
32768,16777216,0.08971956655999999,1.4662466897600747e-07
32768,33554432,0.15009794992,9.440268343244122e-07
65536,1024,0.012591556999999998,1.1030684580160254e-05
65536,2048,0.01252500996,1.8757947302873347e-08
65536,4096,0.01473110396,5.974659836460874e-06
65536,8192,0.01564134864,5.705360155193992e-06
65536,16384,0.01753209932,3.7807754969451443e-06
65536,32768,0.017686155920000002,2.570355822690998e-08
65536,65536,0.0198200628,9.127395780124996e-08
65536,131072,0.021993633119999995,8.740056112252694e-08
65536,262144,0.02447548156,2.6986967588925633e-07
65536,524288,0.02815170308,2.6292303436252573e-05
65536,1048576,0.031864896919999997,1.2290700795699355e-07
65536,2097152,0.04260268772,2.1610638173429307e-07
65536,4194304,0.058421968840000005,1.6762671300788978e-07
65536,8388608,0.07999548304,1.0756571789354002e-07
65536,16777216,0.11598596472000003,3.3673715972304284e-07
65536,33554432,0.17857448804,7.072577522197904e-07
131072,1024,0.023424862440000003,3.099396696518243e-05
131072,2048,0.024460072480000004,2.489965948134335e-08
131072,4096,0.027870552560000005,4.1574868499174086e-05
131072,8192,0.029402496320000006,6.219959729892269e-07
131072,16384,0.03203175652,3.3971828250009433e-07
131072,32768,0.03485758716,3.812058845712236e-07
131072,65536,0.03839577604,3.268456273770689e-08
131072,131072,0.04251906984,1.5483548649238948e-07
131072,262144,0.04674029004,9.182010493987385e-08
131072,524288,0.05187778948,8.197723015747613e-07
131072,1048576,0.0590960706,1.349076494941033e-05
131072,2097152,0.07675709307999999,1.6407255004644061e-06
131072,4194304,0.09994651300000001,3.402898260256582e-06
131072,8388608,0.1266926772,2.5929100254199555e-07
131072,16777216,0.16832037692000001,8.979729640072451e-07
131072,33554432,0.23694592812,1.860279772970109e-06
262144,1024,0.04503607108,3.972888838557257e-05
262144,2048,0.04794027996,2.571150171591241e-07
262144,4096,0.05277847651999999,8.386819832604275e-07
262144,8192,0.057458494920000006,5.045355515903274e-07
262144,16384,0.06365246752,3.1696562687040064e-06
262144,32768,0.06917939976000001,1.017593915895108e-06
262144,65536,0.076574854,2.0572743206597465e-06
262144,131072,0.08481425852,8.41942358002509e-07
262144,262144,0.09279849911999999,1.2993233097706119e-06
262144,524288,0.10058411828000001,9.525051989348547e-06
262144,1048576,0.11200073168,2.3367988797933104e-06
262144,2097152,0.14310679464,5.36517436168882e-06
262144,4194304,0.18239059704,2.168635036441049e-06
262144,8388608,0.22149047887999998,2.6314719295410265e-06
262144,16777216,0.27420130712,2.583554240556203e-06
262144,33554432,0.3543694557199999,4.526024003684982e-06
524288,1024,0.08645046807999998,1.1531247926849361e-07
524288,2048,0.0967951296,4.3742977820745634e-05
524288,4096,0.10377562048,1.2034051238547584e-06
524288,8192,0.11367602772,3.6753285320167098e-06
524288,16384,0.1229378558,3.044413954417167e-06
524288,32768,0.13415041608,4.20594813732932e-06
524288,65536,0.14999781764,1.687809368652248e-06
524288,131072,0.16458824828000002,2.4807728718843727e-06
524288,262144,0.18016140527999996,3.737387519051462e-06
524288,524288,0.19445436664,1.4954801180689017e-06
524288,1048576,0.21395775676,2.0478250269891063e-06
524288,2097152,0.27239193368,2.3209538076257394e-06
524288,4194304,0.34410991904,4.730605438617544e-06
524288,8388608,0.41081656548,4.436209819769261e-06
524288,16777216,0.48616153335999995,4.843340439128136e-06
524288,33554432,0.58571768224,8.780634335025275e-06
1048576,1024,0.17110680048000002,2.8353575018006853e-06
1048576,2048,0.18653749404000003,1.6847503190144597e-06
1048576,4096,0.20420940768,5.856526430647643e-06
1048576,8192,0.22357529732,2.0028768831236406e-05
1048576,16384,0.24233089139999997,1.4192969114099153e-05
1048576,32768,0.26280474984,2.083078050294723e-06
1048576,65536,0.29438640304,1.504359023723703e-06
1048576,131072,0.32577121388,4.3824171409713333e-05
1048576,262144,0.35467720580000006,1.6683990674459492e-05
1048576,524288,0.38173325312,6.214333130066028e-06
1048576,1048576,0.4151430286,1.1920107095820767e-05
1048576,2097152,0.5312167077200001,2.5035813712724124e-05
1048576,4194304,0.66577360024,1.0263433295406609e-05
1048576,8388608,0.7803658366799999,6.185747745246296e-06
1048576,16777216,0.9005699745200001,1.972767068861858e-05
1048576,33554432,1.04828656828,4.2618386774212305e-05
2097152,1024,0.33726083132000007,9.7321749562396e-06
2097152,2048,0.367938328,8.493740205234905e-06
2097152,4096,0.40149479944000005,4.8356316524125e-06
2097152,8192,0.44020802056,3.170101900819775e-06
2097152,16384,0.47724695023999997,6.792913068187437e-06
2097152,32768,0.5208396712,1.5691761300572106e-05
2097152,65536,0.5855090804799999,1.0840674607737325e-05
2097152,131072,0.64120838712,8.434082904841364e-06
2097152,262144,0.70272108932,1.6009651318227635e-05
2097152,524288,0.7528907574799999,1.20727023839753e-05
2097152,1048576,0.8247719616800001,6.544268636578838e-05
2097152,2097152,1.0419718778799998,3.995102674950819e-05
2097152,4194304,1.31161482744,5.49657833646665e-05
2097152,8388608,1.5247548332800003,7.160334091902036e-05
2097152,16777216,1.7439328558,0.0001791000134785698
2097152,33554432,1.9770964894800003,0.00012189395154336421
4194304,1024,0.6679262766,6.591927283929069e-06
4194304,2048,0.7297089329600002,6.20371705986362e-06
4194304,4096,0.7989287432800002,8.6471842121695e-06
4194304,8192,0.87634612748,3.079351210128488e-05
4194304,16384,0.9492825921600001,3.5346959854380104e-05
4194304,32768,1.04242282704,9.232127250017866e-05
4194304,65536,1.16468064356,4.722532982672186e-05
4194304,131072,1.2814862868399999,8.306185685111024e-05
4194304,262144,1.39806184932,1.8984688282940936e-05
4194304,524288,1.49860308848,5.0872543834802566e-05
4194304,1048576,1.6340578174,7.167033484604892e-05
4194304,2097152,2.0763628824400002,7.776315908889524e-05
4194304,4194304,2.60364454872,0.0003002849328787328
4194304,8388608,3.0102357974,0.00013169075014502832
4194304,16777216,3.4175779631600007,0.0004419818579997417
4194304,33554432,3.8295452500800002,0.0009833220607249192
8388608,1024,1.3290060852799999,2.2689913491859503e-05
8388608,2048,1.4555697668000003,2.6900687709017408e-05
8388608,4096,1.59228714432,3.565400282642432e-05
8388608,8192,1.74701483224,0.00011424605745965397
8388608,16384,1.89757765912,0.00012169681536231236
8388608,32768,2.06692901776,0.00012605805527699093
8388608,65536,2.32559600084,0.00010847152608548312
8388608,131072,2.54473257624,0.00015524004358912296
8388608,262144,2.7837978575599998,0.00011913948778743272
8388608,524288,2.9791812489200002,0.00010281032592001457
8388608,1048576,3.24352796724,0.0003102224389667751
8388608,2097152,4.1282287206,0.00023018851286962818
8388608,4194304,5.1752706382,0.00038068549881240785
8388608,8388608,6.006156204720001,0.0010159051623958072
8388608,16777216,6.77223287852,0.001914238583728768
8388608,33554432,7.5008076602800005,0.0016821431669820188
16777216,1024,2.6472334319599997,7.9942575369224e-05
16777216,2048,2.9000019938399997,0.00015497769782776537
16777216,4096,3.1784630367599997,0.00030134600659639023
16777216,8192,3.48281382964,0.0002685290217882976
16777216,16384,3.77104403184,0.0005805578557373653
16777216,32768,4.123853878919999,0.0006383630832027156
16777216,65536,4.62510280716,0.0002798976183780348
16777216,131072,5.08859345548,0.0007136182465026803
16777216,262144,5.5685963316,0.000535320070865051
16777216,524288,5.95218439596,0.0009768790355918669
16777216,1048576,6.481670976480001,0.000607857641732408
16777216,2097152,8.23170870596,0.001244804704623951
16777216,4194304,10.352716562160001,0.0022714868897209177
16777216,8388608,11.93089815844,0.002414098853054426
16777216,16777216,13.46587029156,0.005118025482319371
16777216,33554432,14.9869031956,0.006495406532313269
33554432,1024,5.297882598040001,0.00010231407176262232
33554432,2048,5.79128049972,0.00012134443748991074
33554432,4096,6.3366696356,0.00013397896414888823
33554432,8192,6.95360854896,0.0009019824205671927
33554432,16384,7.5669522773199995,0.002076902245781671
33554432,32768,8.245887475799998,0.002804036800315959
33554432,65536,9.26796835088,0.004741512228110783
33554432,131072,10.18727651224,0.0069180146279782815
33554432,262144,11.10348732148,0.002275664332009347
33554432,524288,11.870432391640001,0.002331447719077379
33554432,1048576,12.91124033704,0.003791617567503868
33554432,2097152,16.44974710444,0.00760637030369081
33554432,4194304,20.57151922896,0.010831108761593274
33554432,8388608,23.83627444924,0.01499264335095808
33554432,16777216,26.861121014039995,0.04042701528333014
33554432,33554432,29.61608499912,0.01781641580503081
67108864,1024,10.56640194744,0.00034382236254491616
67108864,2048,11.577530590599999,0.004326086742087226
67108864,4096,12.66255906932,0.0009678391751977706
67108864,8192,13.886777918399998,0.0015985000701944582
67108864,16384,15.035118411760003,0.0019314689240881938
67108864,32768,16.42352064348,0.018582572719010936
67108864,65536,18.483505944199997,0.005929685887107236
67108864,131072,20.50094437056,0.05868005148698583
67108864,262144,22.282523204239997,0.061908774060209594
67108864,524288,24.059055092519998,0.11794877527888327
67108864,1048576,25.856147886199995,0.013131442414899462
67108864,2097152,32.997377722159996,0.01810039138249493
67108864,4194304,41.26238803244,0.07006631059948333
67108864,8388608,47.66196427564,0.20250213838713316
67108864,16777216,53.682883942400004,0.08513362674902054
67108864,33554432,59.46065870876,0.08554237608513875
134217728,1024,21.135513460080002,0.002551171345171692
134217728,2048,23.11026459284,0.012236514498582486
134217728,4096,25.344101358400003,0.0045926084246839215
134217728,8192,27.745761239960004,0.001462401408350547
134217728,16384,30.066660031679994,0.025357882104758683
134217728,32768,32.8419508712,0.03251788030046044
134217728,65536,37.20062391028,0.20743753185672334
134217728,131072,42.25448222912,0.2923149856771905
134217728,262144,46.38542561932001,0.17928818396210544
134217728,524288,49.7173272382,0.4045506460384021
134217728,1048576,54.94457408444,0.6636341692975015
134217728,2097152,67.01200857744,5.934499906844039
134217728,4194304,81.93641777728,0.14345921416276583
134217728,8388608,95.11813927355999,0.4156147099820287
134217728,16777216,107.82911749904001,0.612068876139778
134217728,33554432,119.199506608,1.5337650995743755
